KOR,MATH,GRADE 
79,70,A
14,44,C
49,21,C
78,98,A
49,21,C
61,40,B
80,57,B
23,35,C
60,73,B
57,11,C
78,90,A
15,17,C
44,99,A
95,24,B
29,82,B
58,94,A
45,34,C
23,71,B
35,88,B
20,56,C
97,51,A
43,25,C
10,83,B
88,69,A
86,27,B
55,61,B
98,25,B
13,100,B
72,87,A
37,77,B
18,36,C
95,16,B
18,41,C
99,52,A
27,72,B
30,90,B
65,97,A
57,69,B
46,71,B
76,31,B
88,30,B
40,23,C
98,92,A
31,39,C
25,80,B
33,95,B
68,62,B
85,50,B
12,51,C
95,33,B
93,56,A
70,79,A
92,100,A
57,26,B
66,67,B
79,72,A
22,36,C
74,50,B
94,65,A
64,10,C
99,39,B
82,69,A
58,52,B
48,16,C
36,36,C
30,47,C
68,74,A
46,22,C
87,22,B
74,13,B
57,52,B
63,37,B
36,66,B
37,96,B
96,76,A
44,24,C
17,83,B
31,52,B
37,28,C
91,99,A
10,28,C
35,68,B
60,81,A
65,25,B
88,49,B
39,100,B
84,60,A
13,48,C
58,46,B
97,68,A
38,23,C
81,19,B
70,76,A
79,27,B
97,68,A
84,79,A
19,57,C
56,69,B
84,24,B
39,29,C
90,20,B
17,94,B
31,18,C
68,46,B
93,35,B
48,85,B
72,92,A
12,55,C
44,88,B
50,37,B
33,78,B
22,13,C
14,87,B
32,77,B
28,61,B
39,23,C
21,58,C
97,68,A
72,26,B
37,69,B
89,29,B
66,63,B
57,27,B
51,91,A
97,53,A
79,16,B
68,100,A
92,92,A
69,98,A
43,42,B
73,76,A
23,25,C
20,74,B
23,78,B
60,80,A
57,90,A
72,59,B
77,18,B
45,83,B
33,64,B
16,42,C
48,51,B
22,80,B
35,74,B
32,29,C
33,65,B
13,44,C
52,54,B
49,68,B
84,44,B
58,49,B
35,41,C
46,99,A
94,21,B
98,20,B
71,61,B
79,22,B
83,69,A
97,13,B
15,62,C
83,11,B
74,34,B
87,57,A
67,87,A
89,39,B
97,69,A
40,100,A
27,30,C
18,98,B
53,25,C
27,17,C
24,37,C
84,20,B
16,22,C
71,37,B
11,91,B
35,23,C
52,57,B
89,33,B
41,78,B
45,88,B
15,90,B
86,69,A
40,27,C
10,42,C
92,98,A
31,95,B
83,60,A
50,97,A
19,66,B
79,24,B
67,63,B
84,88,A
65,43,B
71,36,B
73,39,B
49,32,B
66,45,B
42,48,B
26,22,C
35,84,B
21,57,C
80,46,B
55,28,B
16,26,C
92,38,B
14,85,B
63,49,B
32,45,C
28,16,C
56,16,C
34,59,B
21,64,B
47,51,B
71,61,B
96,11,B
34,15,C
66,75,A
23,41,C
18,25,C
17,71,B
21,17,C
73,96,A
51,24,C
96,65,A
72,94,A
40,87,B
41,83,B
66,26,B
24,91,B
64,73,B
94,25,B
80,83,A
20,76,B
77,94,A
23,90,B
76,76,A
78,50,B
52,20,C
74,53,B
100,44,A
51,15,C
23,84,B
61,36,B
29,83,B
16,56,C
21,76,B
92,21,B
34,65,B
30,11,C
29,13,C
62,57,B
86,51,B
54,81,B
30,87,B
88,48,B
36,52,B
29,31,C
54,63,B
11,12,C
26,72,B
70,38,B
60,20,B
10,25,C
11,39,C
46,26,C
20,30,C
29,68,B
17,80,B
12,39,C
74,26,B
100,72,A
61,20,B
21,72,B
46,27,C
91,68,A
35,24,C
86,43,B
73,22,B
86,12,B
74,84,A
51,17,C
15,35,C
27,20,C
69,88,A
60,43,B
94,39,B
74,31,B
86,53,B
37,55,B
51,10,C
61,16,C
86,15,B
36,87,B
41,80,B
63,37,B
65,69,B
56,52,B
25,17,C
53,91,A
34,19,C
28,58,B
29,60,B
48,76,B
85,70,A
28,39,C
74,81,A
95,53,A
20,30,C
81,45,B
98,70,A
97,83,A
98,87,A
43,97,A
69,86,A
56,43,B
79,46,B
74,96,A
45,74,B
25,32,C
33,66,B
54,45,B
82,76,A
50,58,B
99,38,B
31,21,C
77,29,B
56,64,B
92,51,A
29,15,C
50,12,C
14,88,B
85,30,B
74,41,B
78,34,B
87,51,B
49,42,B
18,15,C
64,71,B
92,46,B
96,73,A
50,24,C
94,65,A
100,44,A
45,20,C
24,61,B
71,17,B
12,44,C
46,84,B
78,49,B
82,93,A
35,73,B
43,66,B
67,43,B
17,71,B
40,60,B
88,35,B
86,52,B
54,51,B
78,66,A
81,84,A
73,71,A
68,76,A
15,96,B
56,75,B
50,41,B
40,65,B
59,25,B
47,27,C
49,31,B
46,42,B
66,30,B
56,12,C
21,40,C
46,60,B
28,47,C
57,67,B
32,33,C
67,77,A
58,27,B
41,81,B
85,17,B
80,77,A
24,99,B
55,12,C
70,69,B
88,95,A
15,12,C
10,19,C
11,75,B
50,11,C
82,80,A
61,77,B
28,91,B
99,59,A
74,81,A
37,49,B
24,52,C
20,60,B
59,49,B
26,72,B
48,70,B
23,60,B
41,21,C
40,76,B
69,32,B
56,36,B
33,70,B
26,31,C
93,24,B
16,19,C
56,76,B
68,78,A
30,60,B
32,81,B
28,61,B
12,47,C
29,45,C
96,61,A
23,50,C
68,30,B
58,36,B
64,41,B
67,66,B
77,84,A
36,37,C
20,73,B
78,37,B
85,17,B
10,44,C
45,74,B
28,85,B
93,29,B
78,10,B
41,24,C
73,72,A
31,81,B
11,51,C
90,67,A
65,95,A
43,58,B
21,57,C
63,54,B
55,65,B
100,72,A
82,54,B
71,43,B
90,51,A
69,97,A
66,14,B
71,60,B
44,40,B
36,31,C
28,82,B
17,50,C
60,50,B
14,21,C
29,12,C
48,52,B
86,43,B
67,20,B
23,28,C
16,39,C
55,90,A
42,53,B
51,32,B
44,42,B
70,88,A
39,69,B
74,22,B
91,96,A
31,28,C
45,70,B
58,66,B
63,27,B
29,15,C
75,83,A
51,46,B
43,95,B
74,87,A
96,51,A
37,20,C
55,88,A
42,100,A
65,24,B
24,98,B
58,69,B
20,45,C
40,42,B
78,73,A
55,74,B
16,21,C
54,72,B
68,93,A
30,24,C
69,16,B
31,57,B
90,33,B
35,81,B
70,68,B
50,44,B
42,23,C
25,76,B
85,29,B
75,84,A
75,75,A
76,18,B
26,81,B
41,55,B
55,18,C
12,75,B
29,76,B
67,69,B
71,51,B
55,92,A
52,55,B
71,97,A
36,38,C
14,23,C
21,78,B
92,79,A
18,81,B
93,34,B
31,41,C
11,13,C
16,28,C
69,56,B
93,24,B
81,78,A
45,59,B
21,67,B
35,28,C
28,81,B
22,33,C
32,65,B
19,94,B
39,80,B
32,98,B
68,10,C
20,77,B
57,84,A
78,31,B
78,72,A
80,70,A
56,58,B
19,33,C
63,29,B
58,14,C
81,11,B
16,55,C
66,25,B
89,67,A
68,15,B
68,94,A
80,50,B
78,40,B
60,52,B
98,86,A
10,55,C
33,91,B
69,54,B
70,70,A
92,59,A
64,16,B
97,31,B
73,88,A
17,57,C
27,52,C
46,66,B
38,10,C
46,67,B
88,82,A
61,41,B
70,98,A
88,45,B
25,21,C
32,33,C
64,68,B
61,62,B
83,16,B
70,44,B
55,57,B
93,38,B
18,37,C
23,57,B
24,11,C
57,36,B
10,55,C
74,51,B
31,23,C
96,66,A
76,71,A
100,27,B
38,82,B
67,56,B
85,31,B
43,43,B
78,96,A
68,90,A
78,93,A
17,95,B
30,70,B
60,38,B
34,19,C
49,31,B
25,97,B
57,34,B
81,53,B
17,87,B
19,91,B
99,17,B
14,62,C
69,93,A
61,38,B
91,94,A
59,27,B
30,18,C
41,67,B
87,56,A
41,77,B
20,18,C
24,97,B
100,43,A
40,19,C
54,79,B
13,75,B
59,44,B
12,97,B
13,47,C
16,21,C
76,96,A
36,94,B
11,52,C
90,84,A
55,92,A
92,73,A
62,70,B
72,30,B
87,21,B
54,80,B
69,39,B
62,88,A
61,17,C
43,98,A
49,25,C
64,13,C
29,96,B
88,89,A
39,85,B
91,67,A
30,55,B
23,81,B
78,89,A
43,43,B
94,80,A
84,90,A
86,51,B
78,91,A
80,35,B
85,96,A
11,46,C
40,57,B
86,79,A
37,33,C
29,43,C
61,73,B
44,25,C
88,86,A
81,74,A
22,33,C
100,81,A
91,46,B
98,66,A
66,34,B
25,56,B
93,68,A
20,60,B
58,69,B
80,96,A
21,61,B
66,13,C
14,53,C
90,51,A
78,46,B
89,91,A
34,10,C
23,57,B
16,16,C
38,68,B
87,92,A
95,57,A
95,89,A
68,37,B
94,20,B
37,99,B
54,85,B
76,60,B
23,97,B
16,64,B
45,96,A
17,23,C
52,24,C
53,87,A
31,39,C
71,74,A
33,40,C
69,96,A
27,85,B
23,22,C
95,65,A
38,60,B
100,64,A
31,37,C
49,73,B
66,42,B
41,47,B
24,17,C
51,87,B
79,49,B
78,29,B
22,73,B
66,16,B
46,76,B
44,58,B
55,15,C
19,78,B
78,87,A
62,30,B
59,44,B
45,40,B
18,18,C
73,23,B
48,29,C
81,71,A
74,72,A
43,91,B
46,44,B
43,43,B
82,58,A
12,88,B
27,28,C
70,19,B
95,82,A
21,51,C
77,85,A
28,63,B
36,75,B
15,96,B
32,27,C
99,54,A
86,23,B
26,74,B
65,11,C
13,27,C
67,81,A
100,19,B
18,18,C
79,55,B
61,76,B
29,57,B
63,59,B
64,34,B
12,22,C
24,82,B
83,99,A
41,26,C
67,26,B
76,86,A
52,56,B
94,98,A
97,41,B
51,98,A
30,58,B
52,44,B
69,65,B
85,72,A
64,19,B
87,49,B
45,64,B
18,24,C
25,55,B
53,76,B
39,65,B
21,80,B
18,61,C
43,10,C
84,11,B
53,65,B
31,88,B
80,96,A
17,39,C
68,91,A
48,96,A
66,91,A
38,99,B
88,12,B
37,29,C
27,15,C
26,27,C
27,62,B
22,62,B
24,54,C
48,68,B
25,31,C
33,52,B
50,89,B
74,26,B
38,67,B
18,89,B
24,41,C
92,32,B
94,90,A
89,43,B
61,39,B
52,97,A
78,53,B
21,54,C
61,40,B
10,99,B
56,73,B
51,93,A
27,13,C
56,94,A
29,14,C
80,73,A
49,50,B
56,10,C
59,42,B
60,90,A
57,14,C
80,71,A
35,45,B
58,97,A
37,81,B
82,28,B
33,81,B
93,94,A
89,23,B
47,34,B
19,49,C
32,45,C
25,53,C
95,56,A
45,53,B
32,17,C
53,30,B
47,86,B
89,76,A
51,33,B
84,39,B
76,78,A
96,46,A
88,55,A
93,74,A
98,66,A
87,71,A
96,11,B
67,29,B
20,38,C
97,60,A
92,96,A
34,39,C
83,92,A
57,23,B
24,47,C
51,36,B
12,34,C
70,34,B
74,44,B
58,82,A
12,33,C
93,46,B
46,66,B
59,82,A
48,97,A
37,16,C
38,68,B
37,59,B
80,89,A
84,35,B
53,87,A
16,51,C
38,91,B
92,100,A
77,28,B
44,41,B
76,18,B
33,23,C
60,59,B
56,34,B
98,18,B
98,65,A
27,44,C
39,17,C
21,24,C
18,58,C
58,13,C
28,16,C
29,82,B
66,52,B
48,59,B
39,31,C
51,36,B
18,94,B
70,63,B
21,82,B
43,25,C
53,91,A
73,48,B
85,60,A
34,20,C
81,18,B
30,41,C
90,71,A
72,61,B
10,34,C
68,30,B
23,23,C
29,22,C
66,80,A
37,98,B
72,81,A
82,27,B
39,20,C
20,82,B
37,40,C
42,21,C
62,49,B
45,23,C
41,94,B
28,28,C
37,38,C
28,18,C
100,63,A
70,45,B
19,43,C
88,42,B
50,35,B
71,25,B
44,29,C
93,77,A
16,75,B
14,49,C
89,68,A
62,77,B
78,48,B
47,100,A
100,43,A
89,98,A
58,85,A
100,59,A
90,31,B
79,71,A
44,21,C
58,24,B
67,62,B
52,75,B
62,29,B
26,100,B
17,17,C
89,69,A
45,86,B
82,89,A
61,88,A
100,93,A
74,36,B
17,90,B
53,49,B
42,74,B
34,61,B
75,77,A
81,27,B
64,39,B
99,100,A
82,46,B
46,89,B
100,90,A
86,99,A
36,22,C
39,62,B
51,64,B
100,83,A
55,62,B
43,54,B
20,82,B
18,43,C
42,40,B
48,94,A
22,63,B
83,35,B
84,57,A
42,35,C
43,33,C
66,37,B
80,17,B
37,43,B
73,37,B
60,82,A
61,76,B
59,58,B
60,15,C
11,76,B
15,91,B
44,58,B
94,94,A
83,41,B
41,16,C
85,71,A
53,66,B
11,73,B
96,76,A
41,41,B
37,28,C
95,59,A
64,37,B
54,30,B
19,20,C
52,43,B
33,94,B
19,14,C
10,89,B
35,70,B
15,74,B
10,12,C
72,14,B
29,66,B
66,83,A
92,58,A
85,14,B
36,17,C
52,16,C
28,46,C
63,54,B
79,52,B
57,34,B
94,72,A
34,44,C
99,73,A
64,79,A
22,63,B
83,16,B
39,15,C
61,19,B
52,83,B
61,64,B
10,71,B
86,38,B
63,54,B
72,74,A
31,75,B
96,78,A
77,37,B
12,88,B
39,27,C
24,86,B
45,75,B
94,68,A
34,28,C
55,43,B
63,53,B
59,35,B
11,73,B
60,91,A
56,34,B
41,22,C
78,97,A
31,61,B
86,73,A
58,95,A
15,87,B
40,46,B
87,64,A
100,20,B
20,69,B
28,69,B
45,44,B
61,96,A
94,81,A
94,78,A
69,15,B
78,75,A
30,62,B
66,11,C
13,74,B
31,99,B
52,16,C
99,20,B
18,54,C
85,84,A
35,66,B
98,80,A
65,91,A
98,97,A
48,51,B
12,36,C
23,70,B
70,94,A
83,42,B
19,74,B
61,71,B
37,96,B
90,24,B
97,11,B
35,20,C
80,49,B
41,66,B
41,25,C
18,57,C
79,91,A
60,76,B
44,59,B
63,43,B
32,44,C
20,16,C
98,98,A
99,45,A
89,98,A
18,21,C
43,11,C
27,75,B
99,80,A
11,60,C
77,42,B
40,92,B
60,38,B
51,86,B
80,44,B
13,57,C
53,93,A
36,85,B
38,23,C
22,94,B
17,90,B
52,44,B
74,15,B
46,57,B
14,83,B
40,87,B
14,39,C
20,95,B
35,33,C
89,29,B
40,49,B
20,94,B
12,21,C
34,33,C
36,63,B
54,85,B
98,50,A
26,30,C
13,46,C
65,81,A
65,45,B
33,73,B
33,39,C
85,48,B
14,84,B
82,27,B
84,71,A
78,23,B
68,90,A
11,33,C
98,27,B
47,92,B
13,89,B
74,30,B
48,43,B
86,12,B
12,48,C
42,44,B
73,38,B
60,96,A
28,60,B
37,54,B
42,56,B
47,63,B
63,28,B
35,39,C
93,20,B
57,100,A
84,92,A
73,91,A
29,52,B
22,42,C
16,74,B
68,79,A
45,71,B
10,10,C
37,91,B
29,26,C
53,86,B
13,23,C
93,55,A
89,58,A
28,41,C
86,54,A
84,40,B
97,32,B
50,18,C
81,57,B
83,12,B
74,77,A
92,84,A
63,100,A
23,76,B
82,80,A
77,77,A
95,38,B
18,62,B
67,22,B
81,43,B
84,90,A
70,12,B
99,65,A
91,86,A
68,87,A
23,85,B
46,16,C
46,11,C
34,55,B
12,21,C
23,78,B
29,74,B
63,62,B
16,43,C
99,23,B
76,99,A
45,18,C
60,13,C
82,88,A
79,81,A
29,11,C
65,89,A
28,14,C
89,100,A
16,52,C
99,14,B
68,76,A
41,86,B
33,97,B
58,40,B
100,79,A
45,34,C
98,60,A
36,57,B
91,50,A
49,53,B
38,37,C
16,26,C
47,68,B
71,50,B
62,22,B
67,38,B
39,15,C
30,80,B
49,43,B
70,17,B
77,11,B
20,46,C
50,55,B
48,23,C
50,28,C
80,22,B
59,55,B
79,12,B
29,51,B
19,47,C
94,10,B
44,90,B
73,41,B
32,70,B
18,22,C
92,73,A
65,70,B
23,71,B
86,56,A
73,95,A
79,61,A
40,77,B
59,28,B
80,30,B
77,46,B
33,35,C
37,42,C
46,29,C
57,88,A
17,84,B
77,57,B
35,35,C
42,59,B
21,62,B
69,29,B
86,81,A
95,40,B
28,18,C
57,41,B
32,100,B
64,16,B
89,82,A
14,70,B
17,16,C
92,74,A
16,67,B
10,69,C
76,95,A
78,79,A
24,38,C
20,38,C
11,14,C
96,15,B
43,46,B
48,57,B
35,85,B
11,22,C
83,12,B
97,67,A
78,47,B
73,74,A
41,48,B
89,35,B
59,40,B
24,28,C
72,78,A
87,59,A
22,47,C
66,66,B
12,98,B
44,44,B
68,59,B
23,52,C
12,32,C
65,65,B
89,29,B
28,96,B
25,100,B
78,97,A
11,93,B
63,93,A
34,50,B
99,14,B
66,35,B
11,16,C
94,58,A
61,31,B
42,80,B
22,63,B
87,14,B
64,37,B
43,71,B
92,66,A
51,31,B
66,85,A
100,13,B
73,62,B
44,23,C
42,59,B
11,47,C
21,34,C
71,70,A
38,53,B
51,52,B
85,24,B
48,69,B
16,73,B
70,64,B
81,72,A
14,81,B
32,90,B
19,34,C
76,50,B
36,61,B
88,47,B
40,59,B
88,34,B
62,87,A
76,86,A
48,85,B
82,62,A
92,39,B
34,67,B
17,48,C
60,50,B
34,38,C
93,60,A
39,40,C
45,14,C
91,76,A
38,62,B
94,49,A
98,15,B
28,39,C
89,93,A
60,87,A
10,96,B
70,90,A
38,49,B
80,84,A
85,89,A
65,69,B
15,54,C
30,72,B
46,45,B
30,31,C
99,46,A
86,87,A
98,92,A
45,74,B
64,50,B
76,47,B
34,56,B
76,85,A
54,22,C
56,84,A
10,61,C
15,85,B
95,91,A
45,83,B
62,96,A
98,48,A
86,20,B
56,48,B
25,33,C
84,38,B
83,94,A
57,91,A
94,18,B
13,81,B
91,35,B
38,91,B
30,49,C
10,50,C
91,86,A
20,80,B
41,57,B
58,58,B
68,72,A
33,73,B
27,72,B
24,49,C
26,87,B
50,52,B
78,87,A
66,78,A
41,28,C
96,27,B
38,74,B
90,25,B
45,98,A
88,45,B
19,28,C
55,69,B
27,92,B
52,33,B
87,88,A
71,23,B
65,45,B
24,89,B
93,47,A
88,30,B
15,11,C
44,100,A
25,79,B
12,51,C
41,74,B
78,69,A
86,87,A
37,89,B
34,100,B
82,67,A
45,86,B
13,10,C
31,26,C
42,51,B
19,96,B
52,75,B
14,64,C
59,63,B
72,68,A
19,50,C
21,18,C
26,37,C
62,72,B
51,88,B
23,69,B
71,57,B
80,42,B
80,85,A
44,10,C
69,44,B
76,92,A
57,49,B
23,55,C
25,65,B
10,11,C
36,35,C
93,57,A
73,100,A
44,38,B
16,33,C
72,49,B
45,44,B
72,24,B
81,14,B
48,35,B
30,97,B
51,84,B
19,20,C
18,61,C
22,83,B
96,96,A
97,85,A
34,35,C
36,65,B
71,22,B
44,60,B
93,90,A
34,69,B
33,64,B
52,76,B
60,80,A
84,28,B
86,88,A
79,42,B
18,11,C
22,79,B
13,49,C
76,45,B
68,77,A
32,79,B
30,14,C
100,84,A
85,54,B
71,41,B
85,40,B
14,63,C
46,68,B
96,92,A
52,69,B
91,50,A
83,60,A
37,66,B
50,83,B
23,56,C
62,27,B
36,24,C
17,70,B
82,18,B
18,74,B
70,17,B
25,29,C
10,51,C
10,85,B
61,11,C
96,23,B
72,88,A
79,61,A
46,42,B
43,18,C
74,43,B
80,20,B
52,17,C
39,100,B
59,39,B
15,71,B
26,95,B
97,53,A
38,85,B
71,63,B
56,66,B
18,64,B
29,42,C
70,90,A
81,33,B
60,91,A
62,80,A
77,82,A
37,16,C
76,54,B
14,55,C
13,49,C
97,20,B
56,97,A
60,24,B
76,96,A
10,11,C
68,50,B
72,31,B
93,98,A
16,37,C
85,20,B
42,50,B
72,28,B
26,62,B
33,100,B
46,100,A
79,70,A
19,18,C
47,28,C
32,20,C
88,72,A
96,31,B
85,61,A
55,14,C
23,52,C
32,97,B
10,83,B
82,53,B
46,27,C
30,35,C
23,27,C
44,95,B
12,24,C
99,59,A
30,13,C
38,31,C
13,54,C
91,66,A
38,28,C
10,87,B
45,84,B
53,41,B
18,27,C
12,59,C
94,85,A
39,22,C
16,66,B
55,43,B
95,86,A
90,92,A
64,69,B
58,51,B
51,27,C
74,25,B
78,90,A
35,81,B
48,44,B
88,26,B
53,54,B
39,61,B
32,55,B
40,58,B
69,17,B
49,67,B
42,76,B
64,35,B
46,77,B
54,29,B
65,77,A
80,28,B
33,72,B
60,75,B
21,67,B
54,33,B
65,75,A
16,85,B
28,100,B
20,53,C
24,16,C
78,92,A
48,30,C
31,36,C
79,99,A
37,40,C
29,53,B
87,62,A
41,84,B
26,17,C
36,30,C
22,49,C
81,30,B
45,44,B
16,90,B
82,23,B
26,96,B
38,20,C
95,13,B
94,55,A
89,75,A
28,15,C
92,20,B
66,98,A
39,29,C
80,97,A
56,32,B
46,64,B
13,34,C
77,22,B
79,29,B
84,80,A
83,54,B
37,59,B
32,18,C
15,56,C
72,97,A
37,78,B
39,87,B
27,82,B
18,92,B
60,45,B
81,93,A
32,59,B
89,43,B
66,99,A
92,92,A
36,80,B
48,64,B
84,66,A
22,29,C
75,100,A
67,42,B
68,30,B
28,16,C
50,32,B
93,87,A
63,65,B
67,97,A
27,70,B
14,77,B
32,57,B
53,28,B
21,37,C
48,66,B
98,41,B
20,53,C
12,61,C
33,75,B
46,47,B
61,19,B
48,40,B
65,39,B
54,52,B
24,44,C
85,65,A
58,99,A
34,98,B
84,59,A
79,70,A
12,51,C
98,53,A
45,97,A
76,71,A
64,99,A
52,76,B
67,63,B
70,45,B
21,31,C
73,77,A
52,19,C
71,59,B
78,31,B
24,27,C
99,27,B
85,40,B
52,89,A
92,62,A
14,81,B
87,65,A
25,55,B
78,37,B
10,85,B
70,11,B
75,22,B
100,69,A
66,46,B
45,66,B
35,94,B
16,85,B
50,44,B
53,57,B
69,88,A
83,12,B
98,75,A
93,65,A
58,66,B
70,36,B
58,55,B
22,13,C
22,75,B
98,75,A
96,32,B
38,68,B
26,63,B
16,56,C
42,63,B
31,78,B
96,91,A
93,83,A
73,54,B
40,55,B
71,71,A
90,93,A
72,45,B
63,38,B
13,29,C
17,89,B
23,45,C
49,73,B
42,61,B
43,40,B
39,38,C
38,90,B
46,94,A
96,18,B
88,30,B
89,56,A
69,15,B
85,13,B
99,91,A
26,68,B
71,41,B
56,42,B
19,96,B
21,78,B
71,23,B
100,38,B
29,92,B
83,82,A
87,82,A
51,45,B
97,52,A
28,81,B
16,73,B
90,80,A
54,30,B
29,30,C
74,32,B
98,12,B
72,19,B
10,46,C
34,27,C
60,61,B
13,69,B
82,18,B
72,55,B
33,69,B
46,92,B
39,20,C
81,84,A
55,49,B
76,99,A
79,63,A
94,29,B
18,45,C
65,10,C
10,62,C
87,78,A
35,86,B
66,71,B
54,21,C
86,24,B
37,24,C
33,29,C
76,43,B
28,54,B
88,57,A
16,73,B
64,36,B
25,36,C
79,98,A
43,64,B
86,34,B
27,70,B
70,49,B
88,12,B
91,80,A
40,48,B
91,81,A
100,99,A
90,74,A
21,68,B
88,35,B
72,35,B
82,82,A
84,10,B
29,51,B
75,42,B
23,54,C
53,59,B
20,62,B
50,57,B
62,11,C
20,24,C
86,36,B
31,62,B
73,57,B
38,85,B
22,40,C
25,92,B
40,95,B
66,63,B
73,36,B
54,20,C
89,84,A
74,69,A
65,80,A
67,49,B
54,26,B
90,63,A
38,26,C
74,83,A
94,15,B
30,37,C
22,52,C
77,42,B
94,32,B
22,31,C
29,45,C
35,13,C
52,17,C
95,24,B
63,14,C
38,36,C
86,31,B
71,45,B
42,13,C
90,30,B
52,79,B
53,69,B
97,45,A
16,79,B
20,18,C
38,17,C
63,66,B
49,75,B
28,33,C
19,44,C
46,62,B
26,56,B
49,100,A
33,98,B
33,90,B
71,85,A
89,51,A
13,83,B
63,58,B
38,47,B
14,51,C
39,50,B
34,68,B
77,71,A
64,65,B
28,29,C
94,32,B
74,19,B
23,97,B
12,21,C
73,65,B
18,87,B
49,80,B
70,25,B
37,61,B
72,37,B
76,81,A
36,11,C
49,89,B
53,28,B
73,98,A
37,61,B
90,21,B
89,35,B
85,11,B
51,63,B
91,95,A
74,58,B
19,70,B
16,93,B
39,44,B
71,80,A
18,37,C
98,61,A
30,63,B
98,70,A
77,27,B
95,34,B
48,58,B
92,47,B
30,13,C
10,73,B
68,25,B
13,53,C
46,10,C
67,93,A
33,96,B
88,88,A
78,10,B
84,87,A
36,67,B
92,77,A
29,95,B
58,49,B
24,70,B
89,95,A
100,21,B
26,68,B
82,100,A
80,99,A
36,97,B
43,45,B
62,87,A
40,65,B
70,89,A
93,62,A
75,60,B
24,100,B
36,71,B
62,13,C
83,95,A
68,93,A
94,49,A
72,19,B
88,44,B
43,52,B
17,47,C
42,42,B
69,90,A
17,52,C
77,61,B
62,91,A
40,59,B
48,78,B
60,82,A
59,39,B
37,42,C
27,28,C
38,85,B
93,12,B
86,33,B
65,88,A
25,85,B
10,33,C
43,32,C
12,86,B
80,79,A
64,100,A
55,76,B
75,34,B
75,53,B
12,35,C
40,22,C
91,60,A
77,10,B
41,96,B
76,58,B
86,58,A
49,63,B
16,74,B
43,71,B
56,28,B
16,34,C
71,25,B
55,33,B
97,90,A
48,82,B
82,14,B
73,16,B
35,47,B
13,49,C
64,50,B
63,19,B
75,93,A
13,80,B
93,92,A
96,93,A
87,35,B
80,48,B
64,30,B
20,53,C
19,63,B
39,28,C
56,27,B
45,17,C
56,70,B
15,30,C
80,64,A
78,17,B
67,99,A
85,29,B
17,98,B
85,92,A
64,88,A
21,47,C
21,35,C
47,22,C
39,26,C
62,68,B
66,91,A
98,51,A
20,55,C
75,95,A
46,97,A
95,89,A
32,93,B
47,88,B
62,54,B
32,100,B
55,92,A
21,53,C
31,28,C
40,81,B
66,33,B
62,10,C
84,74,A
66,15,B
50,50,B
96,25,B
90,86,A
89,49,B
50,83,B
20,83,B
13,61,C
80,87,A
53,62,B
77,21,B
37,16,C
90,81,A
17,97,B
91,54,A
100,11,B
56,93,A
97,40,B
50,69,B
45,54,B
31,45,C
38,43,B
26,18,C
74,79,A
33,44,C
43,32,C
45,100,A
45,45,B
56,68,B
92,100,A
67,25,B
38,88,B
57,36,B
72,71,A
18,43,C
38,75,B
93,14,B
77,98,A
14,12,C
100,76,A
24,92,B
51,81,B
75,22,B
93,43,B
20,88,B
14,47,C
67,77,A
55,73,B
42,81,B
94,94,A
85,66,A
56,74,B
54,74,B
43,39,B
62,76,B
17,74,B
44,10,C
29,41,C
79,79,A
36,70,B
100,82,A
59,74,B
74,20,B
93,47,A
69,26,B
45,62,B
43,38,B
16,40,C
26,69,B
41,70,B
68,64,B
21,16,C
91,90,A
19,82,B
12,27,C
63,35,B
44,71,B
89,38,B
41,57,B
42,67,B
81,53,B
23,75,B
13,59,C
57,76,B
30,99,B
89,49,B
10,92,B
45,29,C
11,97,B
32,33,C
98,53,A
27,12,C
90,73,A
84,99,A
28,66,B
64,65,B
55,26,B
28,74,B
60,19,C
80,33,B
18,62,B
54,65,B
84,39,B
84,16,B
37,83,B
86,84,A
58,58,B
99,95,A
81,39,B
93,10,B
55,92,A
33,62,B
35,13,C
92,89,A
91,52,A
65,96,A
41,69,B
56,89,A
81,79,A
73,78,A
32,26,C
28,38,C
57,74,B
40,13,C
28,62,B
56,92,A
22,95,B
16,95,B
15,93,B
56,27,B
82,37,B
34,89,B
59,30,B
72,75,A
71,83,A
72,68,A
31,68,B
40,58,B
11,75,B
37,94,B
42,93,B
27,77,B
22,29,C
79,31,B
34,44,C
50,58,B
63,54,B
94,13,B
63,24,B
69,99,A
90,50,A
36,83,B
37,86,B
49,43,B
91,15,B
52,23,C
74,89,A
47,44,B
23,32,C
63,12,C
22,20,C
53,40,B
74,23,B
15,83,B
16,38,C
62,62,B
75,18,B
62,70,B
92,45,B
66,14,B
87,20,B
48,50,B
90,23,B
20,93,B
92,17,B
91,97,A
38,12,C
55,68,B
68,52,B
82,56,B
67,27,B
94,92,A
63,28,B
16,27,C
92,98,A
43,59,B
94,51,A
74,74,A
100,57,A
39,73,B
92,49,A
58,77,B
65,39,B
50,71,B
69,17,B
96,42,B
72,44,B
33,60,B
68,73,A
79,98,A
98,37,B
54,50,B
81,97,A
67,28,B
37,66,B
95,79,A
75,38,B
73,41,B
36,41,C
83,83,A
94,86,A
52,20,C
28,65,B
91,23,B
46,29,C
20,13,C
32,21,C
40,39,C
99,40,B
33,44,C
73,96,A
41,39,B
97,44,A
74,93,A
90,30,B
91,11,B
52,88,A
55,24,C
100,71,A
